fly position,center of mass,laser status
0,NaN,0
0,NaN,0
0,NaN,0
0,NaN,0
0,NaN,0
0,NaN,0
0,NaN,0
0,NaN,0
0,NaN,0
0,NaN,0
0,NaN,0
0,NaN,0
0,602.65,0
606.27,606.27,0
614.4,614.4,0
620.12,620.12,0
625.14,625.14,0
627.84,627.84,0
624.49,624.49,0
623.14,623.14,0
628.96,628.96,0
631.11,631.11,0
631.96,631.96,0
636.83,636.83,0
642.9,642.9,0
646.55,646.55,0
649.59,649.59,0
655.42,655.42,0
661.82,661.82,0
666.38,666.38,0
672.25,672.25,0
678.04,678.04,0
683.73,683.73,0
690.29,690.29,0
696.37,696.37,0
702.31,702.31,0
708.43,708.43,0
714.63,714.63,0
719.62,719.62,0
724.17,724.17,0
728.99,728.99,0
733.78,733.78,0
737.41,737.41,0
741.22,741.22,0
744.4,744.4,0
747.58,747.58,0
750.83,750.83,0
753.48,753.48,0
756.6,756.6,0
759.61,759.61,0
759.14,759.14,0
760.57,760.57,0
761.69,761.69,0
762.89,762.89,0
763.51,763.51,0
767,766.12,0
767,NaN,0
767,NaN,0
767,NaN,0
767,NaN,0
767,720.23,0
718.84,718.84,0
719.62,719.62,0
720.31,720.31,0
722.86,722.86,0
725.28,725.28,0
741.28,741.28,0
759.14,759.14,0
760.33,760.33,0
764.04,764.04,0
764.35,764.35,0
763.82,763.82,0
759.09,759.09,0
757.54,757.54,0
761.02,761.02,0
754.52,754.52,0
754.52,NaN,0
754.52,745.19,0
738.06,738.06,0
739.79,739.79,0
739.79,NaN,0
739.79,NaN,0
739.79,NaN,0
739.79,NaN,0
739.79,NaN,0
739.79,NaN,0
739.79,NaN,0
739.79,NaN,0
739.79,NaN,0
739.79,NaN,0
739.79,722.72,0
725.27,725.27,0
718.4,718.4,0
718.88,718.88,0
717.26,717.26,0
714.36,714.36,0
715.24,715.24,0
715.12,715.12,0
711.09,711.09,0
705.75,705.75,0
702.1,702.1,0
699.39,699.39,0
695.81,695.81,0
693.35,693.35,0
687.1,687.1,0
683.59,683.59,0
683,683,0
681.62,681.62,0
679.05,679.05,0
667.24,667.24,0
666.73,666.73,0
665.99,665.99,0
662.33,662.33,0
659.86,659.86,0
655.7,655.7,0
652.17,652.17,0
647.09,647.09,0
634.57,634.57,0
633.2,633.2,0
629.84,629.84,0
624.82,624.82,0
620.62,620.62,0
616.09,616.09,0
611.73,611.73,0
606.99,606.99,0
602.71,602.71,0
597.97,597.97,0
592.87,592.87,0
586.69,586.69,0
582.49,582.49,0
578.95,578.95,0
573.77,573.77,0
569.74,569.74,0
563.52,563.52,0
557.78,557.78,0
553.73,553.73,0
548.31,548.31,0
543.54,543.54,0
537.53,537.53,0
531.78,531.78,0
